travel.time.sum,travel.time.mean,trips,cong,party,ideology,winpct,seniority,chairman,committee,party.leader,state.district,extreme,fourteenth,thirteenth,twelfth,eleventh,democrat,house.majority
42,3.5,12,114,100,-0.421,73.3790408,7,0,0,0,NC1,1.0656525,1,0,0,0,1,0
27,5.4,5,113,100,-0.384,76.6239397,6,0,0,0,NC1,1.0286525,0,1,0,0,1,0
10,3.333333333,3,110,100,-0.353,100,3,0,0,0,NC1,0.9976525,0,0,0,0,1,1
21,7,3,112,100,-0.374,59.1589885,5,0,0,0,NC1,1.0186525,0,0,1,0,1,1
7,2.333333333,3,111,100,-0.363,70.28,4,0,0,0,NC1,1.0076525,0,0,0,1,1,0
64,4.571428571,14,114,200,0.583,61.0175689,6,0,0,0,NC10,0.9480046,1,0,0,0,0,1
13,2.6,5,113,200,0.789,57.044594,4,0,0,0,NC10,1.1540046,0,1,0,0,0,1
10,3.333333333,3,111,200,0.787,57.55,2,0,0,0,NC10,1.1520046,0,0,0,1,0,0
8,2.666666667,3,110,200,0.786,61.8,1,0,0,0,NC10,1.1510046,0,0,0,0,0,0
7,2.333333333,3,112,200,0.788,71.2767644,3,0,0,0,NC10,1.1530046,0,0,1,0,0,1
49,4.083333333,12,114,200,0.622,62.8986541,3,0,0,0,NC11,0.9870046,1,0,0,0,0,1
34,4.25,8,113,200,0.833,57.4464727,1,0,0,0,NC11,1.1980046,0,1,0,0,0,1
29,5.8,5,111,100,-0.049,61.96,2,0,0,0,NC11,0.6936525,0,0,0,1,1,1
9,9,1,110,100,-0.049,53.79,1,0,0,0,NC11,0.6936525,0,0,0,0,1,1
9,9,1,112,100,-0.049,54.3249855,3,0,0,0,NC11,0.6936525,0,0,1,0,1,0
24,4,6,111,100,-0.465,71.56,9,0,0,0,NC12,1.1096525,0,0,0,1,1,1
15,3.75,4,112,100,-0.453,65.1147616,10,0,0,0,NC12,1.0976525,0,0,1,0,1,1
18,4.5,4,110,100,-0.477,67.01,8,0,0,0,NC12,1.1216525,0,0,0,0,1,0
16,5.333333333,3,114,100,-0.47,75.3463374,2,0,0,0,NC12,1.1146525,1,0,0,0,1,0
9,3,3,113,100,-0.394,75.4333928,1,0,0,0,NC12,1.0386525,0,1,0,0,1,0
26,5.2,5,112,100,-0.352,55.4254628,5,0,0,0,NC13,0.9966525,0,0,1,0,1,0
24,6,4,110,100,-0.331,63.71,3,0,0,0,NC13,0.9756525,0,0,0,0,1,1
18,9,2,111,100,-0.341,65.93,4,0,0,0,NC13,0.9856525,0,0,0,1,1,1
0,0,0,113,200,0.911,57.1004077,1,0,0,0,NC13,1.2760046,0,1,0,0,0,1
0,0,0,114,200,0.671,57.3077195,3,0,0,0,NC13,1.0360046,1,0,0,0,0,1
88,4.4,20,113,200,0.587,57.4468855,2,0,0,0,NC2,0.9520046,0,1,0,0,0,1
58,3.411764706,17,114,200,0.406,58.8265328,3,0,0,0,NC2,0.7710046,1,0,0,0,0,1
43,6.142857143,7,112,200,0.587,50.5763316,1,0,0,0,NC2,0.9520046,0,0,1,0,0,1
19,3.8,5,111,100,-0.255,66.93,7,0,0,0,NC2,0.8996525,0,0,0,1,1,1
5,1.666666667,3,110,100,-0.255,66.53,6,0,0,0,NC2,0.8996525,0,0,0,0,1,1
13,2.6,5,111,200,0.122,65.9,8,0,0,0,NC3,0.4870046,0,0,0,1,0,0
16,3.2,5,114,200,0.243,67.8098416,11,0,0,0,NC3,0.6080046,1,0,0,0,0,0
22,4.4,5,110,200,0.162,68.64,7,0,0,0,NC3,0.5270046,0,0,0,0,0,1
25,5,5,112,200,0.082,73.7249322,9,0,0,0,NC3,0.4470046,0,0,1,0,0,1
22,5.5,4,113,200,0.042,63.1627182,10,0,0,0,NC3,0.4070046,0,1,0,0,0,1
92,7.076923077,13,113,100,-0.417,74.362365,13,0,0,0,NC4,1.0616525,0,1,0,0,1,0
88,6.769230769,13,114,100,-0.339,74.7468794,14,0,0,0,NC4,0.9836525,1,0,0,0,1,0
48,6,8,111,100,-0.38,63.32,11,0,0,0,NC4,1.0246525,0,0,0,1,1,1
8,8,1,110,100,-0.362,64.99,10,0,0,0,NC4,1.0066525,0,0,0,0,1,1
40,3.076923077,13,113,200,0.967,57.5394269,4,0,0,0,NC5,1.3320046,0,1,0,0,0,1
32,3.2,10,114,200,0.65,61.0198377,6,0,0,0,NC5,1.0150046,1,0,0,0,0,1
22,5.5,4,111,200,0.853,58.37,2,0,0,0,NC5,1.2180046,0,0,0,1,0,0
13,4.333333333,3,112,200,0.91,65.9005044,3,0,0,0,NC5,1.2750046,0,0,1,0,0,1
6,3,2,110,200,0.796,57.16,1,0,0,0,NC5,1.1610046,0,0,0,0,0,0
50,3.846153846,13,113,200,0.796,60.9377334,15,0,0,0,NC6,1.1610046,0,1,0,0,0,1
21,3,7,114,200,0.621,58.6736767,1,0,0,0,NC6,0.9860046,1,0,0,0,0,1
21,3.5,6,111,200,0.752,67,13,0,0,0,NC6,1.1170046,0,0,0,1,0,0
14,3.5,4,110,200,0.73,70.83,12,0,0,0,NC6,1.0950046,0,0,0,0,0,0
16,4,4,112,200,0.774,75.3316651,14,0,0,0,NC6,1.1390046,0,0,1,0,0,1
28,2.8,10,112,100,-0.101,53.783873,8,0,0,0,NC7,0.7456525,0,0,1,0,1,0
57,7.125,8,113,100,-0.096,50.0796362,9,0,0,0,NC7,0.7406525,0,1,0,0,1,0
32,4.571428571,7,114,200,0.611,61.5287091,1,0,0,0,NC7,0.9760046,1,0,0,0,0,1
11,5.5,2,111,100,-0.106,68.84,7,0,0,0,NC7,0.7506525,0,0,0,1,1,1
0,0,0,110,100,-0.111,72.8,6,0,0,0,NC7,0.7556525,0,0,0,0,1,1
30,3.75,8,113,200,0.939,54.1369591,1,0,0,0,NC8,1.3040046,0,1,0,0,0,1
18,2.571428571,7,114,200,0.683,64.8632498,3,0,0,0,NC8,1.0480046,1,0,0,0,0,1
6,3,2,110,200,0.476,50.14,5,0,0,0,NC8,0.8410046,0,0,0,0,0,0
18,9,2,112,100,-0.144,54.6144232,2,0,0,0,NC8,0.7886525,0,0,1,0,1,0
4,4,1,111,100,-0.144,55.38,1,0,0,0,NC8,0.7886525,0,0,0,1,1,1
56,4,14,114,200,0.558,100,3,0,0,0,NC9,0.9230046,1,0,0,0,0,1
46,5.111111111,9,113,200,0.844,53.1229031,1,0,0,0,NC9,1.2090046,0,1,0,0,0,1
16,3.2,5,112,200,0.795,68.9979802,9,0,0,0,NC9,1.1600046,0,0,1,0,0,1
17,4.25,4,111,200,0.783,62.37,8,0,0,0,NC9,1.1480046,0,0,0,1,0,0
0,0,0,110,200,0.771,66.53,7,0,0,0,NC9,1.1360046,0,0,0,0,0,0
25,3.571428571,7,114,200,0.375,100,3,0,0,0,ND0,0.7400046,1,0,0,0,0,1
24,4,6,113,200,0.478,56.8203851,1,0,0,0,ND1,0.8430046,0,1,0,0,0,1
